datetime,NO2,O3,PM10,SO2,CO,WD,WS,TEMP,HUM,month,hour,dayofweek,year,day
2014-01-01 01:00:00,50.35983,,67.300003,9.641643,0.633355,NNE,1.500032,6.851615,85.703796,1,1,2,2014,1
2014-01-01 02:00:00,44.42158,,67.300003,10.270081,0.668712,NNE,1.184683,6.612909,84.602257,1,2,2,2014,1
2014-01-01 03:00:00,30.709094,,67.300003,6.539519,0.443538,NNE,1.93235,6.232194,84.928223,1,3,2,2014,1
2014-01-01 04:00:00,22.605125,,67.300003,3.809433,0.228692,NNE,1.773872,6.271945,82.179962,1,4,2,2014,1
2014-01-01 05:00:00,24.765729,,67.300003,3.577605,0.333802,NNE,1.327189,6.403406,80.453354,1,5,2,2014,1
2014-01-01 06:00:00,22.568277,,67.300003,4.582743,0.222685,NNE,2.063106,5.709334,83.534012,1,6,2,2014,1
2014-01-01 07:00:00,22.591341,,67.300003,2.912871,0.198824,NNE,2.042253,5.463642,81.453903,1,7,2,2014,1
2014-01-01 08:00:00,28.89244,,67.300003,2.796246,0.241626,NNE,2.759351,5.222359,79.896408,1,8,2,2014,1
2014-01-01 09:00:00,32.223515,,67.300003,3.037768,0.360593,NNE,2.238338,5.943835,76.823563,1,9,2,2014,1
2014-01-01 10:00:00,25.205061,,67.300003,3.084456,0.250391,NNE,2.455287,8.369998,69.486053,1,10,2,2014,1
2014-01-01 11:00:00,24.767155,,67.300003,4.821628,0.220915,ENE,1.858147,11.737551,59.657734,1,11,2,2014,1
2014-01-01 12:00:00,15.675018,,67.300003,4.366323,0.110831,E,2.128935,13.644037,58.72303,1,12,2,2014,1
2014-01-01 13:00:00,16.246681,,67.300003,4.162928,0.112816,E,2.392508,14.637293,56.29863,1,13,2,2014,1
2014-01-01 14:00:00,15.828665,,67.300003,3.81233,0.150878,SE,2.198449,14.928095,61.394005,1,14,2,2014,1
2014-01-01 15:00:00,16.725917,,67.300003,4.006218,0.120247,SE,3.016121,14.331093,62.40696,1,15,2,2014,1
2014-01-01 16:00:00,17.670172,,67.300003,4.404651,0.113542,SE,2.792518,14.22941,63.037716,1,16,2,2014,1
2014-01-01 17:00:00,16.473675,,67.300003,2.973467,0.125043,SE,2.674602,13.899805,75.857109,1,17,2,2014,1
2014-01-01 18:00:00,28.902336,,67.300003,2.655422,0.217981,ESE,1.629072,13.330648,81.52597,1,18,2,2014,1
2014-01-01 19:00:00,63.846789,,67.300003,2.509298,0.533129,NE,0.929312,12.663982,85.774002,1,19,2,2014,1
2014-01-01 20:00:00,74.375301,,67.300003,2.361599,0.798081,NNE,1.421989,11.753559,88.366943,1,20,2,2014,1
2014-01-01 21:00:00,62.915017,,67.300003,2.525574,0.514527,NE,1.414469,11.051752,89.811211,1,21,2,2014,1
2014-01-01 22:00:00,51.454602,,67.300003,2.553545,0.529295,NNE,1.717867,9.850221,90.469437,1,22,2,2014,1
2014-01-01 23:00:00,38.691944,,67.300003,2.565016,0.364167,NNE,2.196414,9.378884,91.998611,1,23,2,2014,1
2014-01-02 00:00:00,20.251348,,67.300003,2.406458,0.155085,NNE,2.064648,9.623796,92.84404,1,0,3,2014,2
2014-01-02 01:00:00,15.268345,,56.599991,2.607009,0.110644,NNE,1.529457,9.573329,93.14167,1,1,3,2014,2
2014-01-02 02:00:00,12.163432,,56.599991,2.985186,0.074306,NNE,2.598381,9.017773,93.233917,1,2,3,2014,2
2014-01-02 03:00:00,15.565612,,56.599991,3.002856,0.050403,NNE,2.530562,8.304844,93.797485,1,3,3,2014,2
2014-01-02 04:00:00,11.416731,,56.599991,3.126933,0.039659,NNE,2.398347,8.411716,94.599564,1,4,3,2014,2
2014-01-02 05:00:00,7.60686,,56.599991,2.413432,0.031521,NNE,2.292852,8.106533,94.780151,1,5,3,2014,2
2014-01-02 06:00:00,9.546894,,56.599991,2.309158,0.040671,NNE,2.698797,7.59585,94.451935,1,6,3,2014,2
2014-01-02 07:00:00,25.934654,,56.599991,2.530089,0.089165,NNE,2.219743,7.982839,93.744835,1,7,3,2014,2
